TOTAL,F,MED_E,NAC,IE	: 	22475 	21990 	21205 	19951 	19561 	19383 	19077 	20034 	22081 	22389 	21345 	19080 	18311 	17434 	16767 b	14037 	11993 	10832 	9933 	9017 	8328 	7812 
TOTAL,F,MED_E,NAC,IS	: 	: 	4136089 	3767555 	3598582 	3358665 	3065843 	3027219 	3117162 	3139147 	2802910 	2483559 	2195443 	2031426 	1902644 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,IT	16511 	16242 	15885 	15484 	15369 	15310 	15558 	15453 	15413 	15081 	15158 	14644 	14195 	13850 	13251 b	: 	10259 	9847 	9260 	8675 	8193 	7936 	7460 
TOTAL,F,MED_E,NAC,LT	6652 	5951 	5497 	5057 	16240 	15532 	14392 	12921 	13416 	15697 	13662 	10943 	8407 	6949 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,LU	39784 	35480 	33246 b	35133 	33781 	32740 	32180 	31959 	32036 	31468 	30579 	29531 	29454 	28228 	26674 	25304 b	22905 	21833 	21219 	20526 	19717 	18990 	17947 
TOTAL,F,MED_E,NAC,LV	6989 	6455 	6159 	5580 	5016 	4517 	4299 	4107 	4418 	5129 	4560 	3224 	2397 	2015 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,MK	: 	149850 	137125 	129867 	119720 	116885 	112560 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,MT	14581 	14249 	13543 	13332 	12573 	11741 	11129 	10520 	10241 	10246 	9716 	9125 	3806 	3598 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,NL	23441 	23092 	22271 b	20974 	20583 	20418 	20111 	19869 	19956 	19774 	19093 	17778 	16864 	16695 b	: 	: 	13547 	13093 	12571 	12074 	11789 	11185 	10922 
TOTAL,F,MED_E,NAC,NO	361615 	349186 	345694 	338867 	335006 	315200 	309657 	289383 	278497 	271424 	248083 	227929 	224016 	209398 	207199 	201851 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,PL	27501 	25699 	24299 	23120 	22179 	21472 	20645 	19780 	18793 	17564 	15561 	13506 	12455 	11432 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,PT	9203 	8960 	8643 	8260 	8109 	8099 	8224 	8255 	8575 	8117 	8001 	7480 	7215 	7091 	6774 b	: 	5936 	5580 	5273 	4881 	4695 	4466 	4158 
TOTAL,F,MED_E,NAC,RO	14751 	11999 	10700 	10016 	9341 	8804 	8601 	8638 	8498 	7897 	6366 	5574 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,RS	328308 	306974 	291667 	278989 	275714 	273424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
